ID;City;Place names;Place2 names;Latitude;Longitude;A;C;E;H;N;R;SP;S   H;B;L
184;Diyala;Khan Bani Saad;ÎÇä Èäí ÓÚÏ;33.567086;44.542839;;1;;;;;;;;
185;Diyala;Qara Tabah market;ÓæŞ ŞÑå ÊÈå;34.433583;44.936954;;1;;;;;;1;1;
186;Diyala;Shabandar Mosque;ÌÇãÚ ÇáÔÇÈäÏÑ;33.754995;44.640005;;1;;;;1;;;;
187;Diyala;Mosque of Naqshbandi;ÌÇãÚ ÇáäŞÔÈäÏí;34.188242;45.116041;;1;;;;1;;;;
188;Anbar;Mosque of Sheikh Rajab (Rawa);ÌÇãÚ ÇáÔíÎ ÑÌÈ (ÑÇæÉ);34.46562;41.914595;;1;;;;1;;;;
189;Anbar;Mosque of Farouk;ÌÇãÚ ÇáİÇÑæŞ (ÍÏíËÉ);34.130381;42.386855;;1;;;;1;;;;
190;Anbar;Lake of Habbaniyah;ÈÍíÑÉ ÇáÍÈÇäíÉ;33.291908;43.46448;1;1;1;;1;;1;;;1
191;Anbar;Hdietha dam;ÓÏ ÍÏíËå;34.206944;42.355;1;1;1;;1;;;;;
192;Anbar;Ozdelik Park Shopping Center;ãÑßÒ ÊÓæŞ ÇæÒÏíáíß ÈÇÑß;33.413944;43.276048;;;;;;;;1;1;1
193;Anbar;Lake of Al-Tharthar;ÈÍíÑÉ ÇáËÑËÇÑ;33.984654;43.252151;;1;1;;1;;;;;1
194;Anbar;Khan al-Baghdadi;ÎÇä ÇáÈÛÏÇÏí;33.875549;42.531346;;1;;;1;;;;;1
195;Qadisiyah;The Shrine of the Prophet Ayoub;ãÑŞÏ ÇáäÈí ÃíæÈ;32.348557;44.399265;;1;;;;1;;;;
196;Qadisiyah;The Shrine of the Prophet Shuaib;ãÑŞÏ ÇáäÈí ÔÚíÈ;32.073298;44.882572;;1;;;;1;;;;
197;Qadisiyah;Corniche of Diwaniyah;ßæÑäíÔ ÇáÏíæÇäíÉ;31.99587;44.906883;;;;;1;;1;;;1
198;Qadisiyah;Olive Park;ãÊäÒå ÇáÒíÊæä;32.002635;44.920113;;;;;1;;;;;1
199;Kirkuk;Castle of Kirkuk;ŞáÚÉ ßÑßæß;35.469778;44.395777;;1;;;1;;;;;1
200;Kirkuk;Castle of Gramo;ŞáÚÉ ÌÑãæ;35.312274;44.512678;;1;;;1;;;;;1
201;Kirkuk;Al Qashla Building;ãÈäì ÇáŞÔáÉ;35.471226;44.388542;;1;;;;;;;;
202;Kirkuk;The Shrine of the Prophet Daniel;ãÑŞÏ ÇáäÈí ÏÇäíÇá;35.468651;44.395579;;1;;;;1;;;;
203;Kirkuk;Sargnar Park;ÓÑÌäÇÑ ÈÇÑß;35.487651;44.40455;1;;;;1;;;;;1
204;Kirkuk;Mosque of the friend.;ãÓÌÏ ÇáÕÏíŞ.;35.492581;44.406905;;1;;;;1;;;;
205;Kirkuk;Mosque of Mohammed al - Ghouth (Mosque judge).;ÌÇãÚ ãÍãÏ ÇáÛæË (ãÓÌÏ ÇáŞÇÖí).;35.425687;44.373968;;1;;;;1;;;;
206;Kirkuk;The amusement park of Baba Karkar;ÈÇÈÇ ßÑßÑ;35.423836;44.369166;1;;1;;1;;;;;1
207;Kirkuk;The amusement park of Kirkuk;ãÏíäÉ ãáÇåí ßÑßæß;35.410389;44.378564;1;;;;1;;;;;1
208;Dhi Qar;The archaeological city of Ur;ãÏíäÉ ÃæÑ ÇáÃËÑíÉ;30.962755;46.103178;;1;;;;;;;;
209;Dhi Qar;Or Chaldean;ÇæÑ ÇáßáÏÇäíÉ;30.961455;46.105714;;1;;;;;;;;
210;Dhi Qar;Museum of Inaglede Nana;ãÊÍİ ÅäíÛÇáÏí äÇäÇ;30.961768;46.105134;;1;;;;;;;;
211;Dhi Qar;Erdo;ÅÑíÏæ;31.079486;46.25462;;1;;;;;;;;
212;Dhi Qar;The Dhi Qar Marshes;ÃåæÇÑ Ğí ŞÇÑ;30.955043;46.975481;;1;1;;1;;;;;1
213;Dhi Qar;Faleh Pasha Grand Mosque.;ÌÇãÚ İÇáÍ ÈÇÔÇ ÇáßÈíÑ.;31.043025;46.253759;;1;;;;1;;;;
214;Dhi Qar;Mosque of Souk al-Shuyuk;ÌÇãÚ ÓæŞ ÇáÔíæÎ.;30.887144;46.463078;;1;;;;1;;;;
215;Dhi Qar;Museum of Nasiriyah;ãÊÍİ ÇáäÇÕÑíÉ;31.046957;46.237285;;1;;;;;;;;
216;Dhi Qar;Anchorage Boats Reform;ãÑÓì ÒæÇÑŞ ÇáÇÕáÇÍ;31.165754;46.611428;1;;;;1;;1;;;1
217;Muthanna;Zaytouna Park;ãÊäÒå ÇáÒíÊæäÉ;31.317228;45.28751;;;;;;;;;;
218;Muthanna;Park Teachers District;ãÊäÒå Íí ÇáãÚáãíä;31.313716;45.274062;;;;;1;;1;;;1
219;Muthanna;The Archaeological Temple of Carius;ãÚÈÏ ßÇÑíæÓ ÇáÃËÑí;29.913317;45.299386;;1;;;;;;;;
220;Muthanna;Orok Castle;ŞáÚÉ ÃæÑæß;31.318839;45.280618;;1;;;;;;;;
221;Muthanna;Lake of Sawa;ÈÍíÑÉ ÓÇæÉ;31.314255;45.006995;1;1;1;;1;;;;;1
222;Maysan;Maysan Marshlands;ÇåæÇÑ ãíÓÇä;30.766667;47.05;;1;1;;1;;;;;1
223;Maysan;Zoo and Park of Omaraa;ÍÏíŞÉ ÍíæÇäÇÊ æ ãÊäÒå ÇáÚãÇÑÉ;31.859256;47.143772;;;1;;1;;1;;;1
224;Maysan;Boat Park;ãÊäÒå ÇáÒæÇÑŞ;31.846736;47.159655;;;1;;1;;1;;;1
225;Maysan;The entertainment city of Maysan;ÇáãÏíäÉ ÇáÊÑİíåíÉ İí ãíÓÇä;31.84191;47.16038;;;1;;1;;1;;;1
226;Maysan;Great Architecture Market;ÓæŞ ÇáÚãÇÑÉ ÇáßÈíÑ;31.848654;47.151196;;1;;;;;;1;1;
227;Wasit;Damok Park;ãÊäÒå ÏÇãæß;32.532052;45.818825;;;1;;1;;1;;;1
228;Wasit;Historic City of Wasit;ãÏíäÉ æÇÓØ ÇáÊÇÑíÎíÉ;32.602409;45.752098;;1;;;;;;;;
229;Wasit;Corniche El Kout;ßæÑäíÔ ÇáßæÊ;32.506066;45.812689;;;;;1;;1;;;1
230;Wasit;Grand Mosque of Kut;ÌÇãÚ ÇáßæÊ ÇáßÈíÑ;32.493208;45.828086;;1;;;;1;;;;
231;Wasit;Al Rihana Park;ãÊäÒå ÇáÑíÍÇäÉ;32.503519;45.816722;;;;;1;;1;;;1
232;Wasit;Heritage Market;ÓæŞ ÇáÊÑÇË;32.498669;45.828609;;1;;;;;;1;1;
A: Adventure, C: Culture, E: Environmental, H: Health, N: Nature, R: Religious, SP: SPort, SH: SHopping, B: Business, L: leisure;;;;;;;;;;;;;;;
