ID;City;Place names;Place2 names;Latitude;Longitude;A;C;E;H;N;R;SP;S   H;B;L
103;Sulaymaniyah;Sargonar;ÓÑÌäÇÑ;35.558541;45.436009;;;1;;1;;1;;;1
104;Sulaymaniyah;Ahmed Awa Falls;ÔáÇáÇÊ ÇÍãÏ Âæì;35.816667;45.916667;1;;1;;1;;;;;1
105;Sulaymaniyah;Lake of Dokan;ÈÍíÑÉ ÏæßÇä;36.139263;44.923875;1;;1;;1;;;;;1
106;Sulaymaniyah;Lake Darbandakhan;ÈÍíÑÉ ÏÑÈäÏÎÇä;35.161;45.794763;1;;1;;1;;;;;1
107;Sulaymaniyah;Kunah Masi;ßæäå ãÇÓí;35.797858;45.415407;1;;1;;1;;;;;1
108;Sulaymaniyah;Chirouane Castle;ŞáÚÉ ÔíÑæÇäÉ;34.606926;45.313401;;1;;;1;;;;;1
109;Sulaymaniyah;Mosque of Sulaymaniyah;ÌÇãÚ ÇáÓáíãÇäíÉ ÇáßÈíÑ;35.558275;45.440397;;1;;;;1;;;;
110;Sulaymaniyah;Museum of Sulaymaniyah;ãÊÍİ ÇáÓáíãÇäíÉ;35.557787;45.425763;;1;;;;;;;;
111;Sulaymaniyah;Family Mall;İÇãáí ãæá;35.540724;45.429202;;;;;;;;1;1;1
112;Sulaymaniyah;Magdy Mall;ãÌÏí ãæá;35.565737;45.371346;;;;;;;;1;1;1
113;Sulaymaniyah;Jaffee Land;ÌÇİí áÇäÏ;35.58196;45.46797;1;;1;;1;;1;;;
114;Sulaymaniyah;Mallow Mall;ÓæŞ ãæáæí;35.557213;45.443664;;1;;;;;;1;1;
115;Sulaymaniyah;Park Azadi;ÈÇÑß ÇÒÇÏí;35.564594;45.432115;;;;;1;;;1;1;1
116;Babylon;Babil Tourist Resort;ãäÊÌÚ ÈÇÈá ÇáÓíÇÍí;32.541278;44.414957;;;1;;1;;;;;1
117;Babylon;Traces of Babylon;ÇËÇÑ ÈÇÈá;32.542279;44.420889;;1;;;;;;;;
118;Babylon;Mosque of Nakhilah;ãÓÌÏ ÇáäÎíáÉ ãÑŞÏ Çáßİá;32.226734;44.367139;;1;;;;1;;;;
119;Babylon;Grand Mosque of Hilla;ÌÇãÚ ÇáÍáÉ ÇáßÈíÑ;32.477336;44.427621;;1;;;;1;;;;
120;Babylon;Grand Mosque of Alexandria;ÌÇãÚ ÇáÇÓßäÏÑíÉ ÇáßÈíÑ;32.884002;44.350069;;1;;;;1;;;;
121;Babylon;Great Mosque of Musayyib;ÌÇãÚ ÇáãÓíÈ ÇáßÈíÑ;32.781632;44.284299;;1;;;;1;;;;
122;Babylon;Al Zaqora Park;ãÊäÒå ÇáÒŞæÑÉ;32.447782;44.418295;1;1;;;;;;;;1
123;Babylon;The Nimrod Tower in Borsiba;ÈÑÌ ÇáäãÑæÏ İí ÈæÑÓíÈÇ;32.391758;44.341271;;1;;;;;;;;
124;Babylon;The Shrine of the Prophet Ibrahim;ãŞÇã ÇáäÈí ÅÈÑÇåíã ÇáÎáíá;32.393443;44.345584;;1;;;;1;;;;
125;Babylon;The Shrine of the Prophet Ayoub;ãŞÇã ÇáäÈí ÂíæÈ;32.348557;44.399265;;1;;;;1;;;;
126;Babylon;The Ishtar Gate;ÈæÇÈÉ ÚÔÊÇÑ;32.541455;44.423673;;1;;;;;;;;
127;Babylon;Hanging Gardens;ÇáÍÏÇÆŞ ÇáãÚáŞÉ;32.476714;44.431898;;1;1;;1;;;;;
128;Babylon;The Nebuchadnezzar Museum;ãÊÍİ äÈæÎĞ äÕÑ;32.543232;44.422917;;1;;;;;;;;
129;Babylon;The Babylonian Theater;ÇáãÓÑÍ ÇáÈÇÈáí;32.542599;44.429848;;1;;;;;;;;1
130;Babylon;The Shrine of Sharifa Bint Al Hassan;ãÑŞÏ ÇáÔÑíİÉ ÈäÊ ÇáÍÓä;32.466228;44.343839;;1;;;;1;;;;
131;Basra;Sindbad Island;ÌÒíÑÉ ÇáÓäÏÈÇÏ;30.574701;47.778247;1;;1;;1;;;;;1
132;Basra;The tourist baho;ÇáÈåæ ÇáÓíÇÍí;30.536297;47.79648;;;;;1;;;1;1;1
133;Basra;Qurna;ÇáŞÑäÉ;31.01745;47.424532;;;1;;1;;;;;1
134;Basra;Basra Land;ÈÕÑÉ áÇäÏ;30.55206;47.797676;1;;;;1;;1;;;1
135;Basra;Basra Sports City;ãÏíäÉ ÇáÈÕÑÉ ÇáÑíÇÖíÉ ;30.437877;47.782529;;;;;;;1;;;1
136;Basra;corneche Street;ÔÇÑÚ ÇáßæÑäíÔ;30.5157;47.846054;;;;;1;;;;;1
